Course,Instructor,Term,Title,NetId
ECE-316,"Hillmer, Philip M",2018-fa,Ethics and Engineering,hillmer
ECE-416,"Cunningham, Brian T",2015-sp,Biosensors,bcunning
ECE-456,"Makela, Jonathan J",2015-fa,Global Nav Satellite Systems,jmakela
ECE-310,"Bresler, Yoram",2016-fa,Digital Signal Processing,ybresler
ECE-420,"Do, Minh N",2013-fa,Embedded DSP Laboratory,minhdo
ECE-464,"Pilawa Podgursk, Robert C",2016-fa,Power Electronics,
ECE-206,"Zhang, Jianhua",2011-sp,Elec & Electronic Circuits Lab,jhdzhang
ECE-485,"Liu, Gang L",2016-sp,MEMS Devices & Systems,
ECE-458,"Kudeki, Erhan",2010-sp,Applic of Radio Wave Propag,erhan
ECE-468,"Waldrop, Lara",2018-sp,Optical Remote Sensing,lwaldrop
ECE-532,"Choquette, Kent D",2013-fa,Compnd Semicond & Diode Lasers,choquett
ECE-553,"Liberzon, Daniel M",2010-sp,Optimum Control Systems,liberzon
ECE-454,"Bernhard, Jennifer T",2015-sp,Antennas,jbernhar
ECE-333,"Gross, George",2017-fa,Green Electric Energy,gross
ECE-313,"Iyer, Ravishankar K",2013-fa,Probability with Engrg Applic,rkiyer
ECE-220,"Chen, Yuting W",2017-fa,Computer Systems & Programming,ywchen
ECE-391,"Kalbarczyk, Zbigniew T",2017-sp,Computer Systems Engineering,kalbarcz
ECE-536,"Chuang, Shun L",2011-sp,Integ Optics & Optoelectronics,
ECE-329,"Fliflet, Arne W",2015-sp,Fields and Waves I,afliflet
ECE-385,"Meng, Huan-Ting",2012-fa,Digital Systems Laboratory,
ECE-206,"Haney, Michael J",2014-sp,Elec & Electronic Circuits Lab,
ECE-481,"Lyding, Joseph W",2014-sp,Nanotechnology,lyding
ECE-543,"Raginsky, Maxim",2018-sp,Statistical Learning Theory,maxim
ECE-544,"Hasegawa-Johnso, Mark A",2014-fa,Pattern Recognition,
ECE-551,"Liang, Zhi-Pei",2013-fa,Digital Signal Processing II,z-liang
ECE-469,"Pilawa Podgursk, Robert C",2015-fa,Power Electronics Laboratory,
ECE-563,"Varshney, Lav R",2018-fa,Information Theory,varshney
